x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.5176599,0.329988,-0.22476265,0.9999882,0.5208911,0.3164837,-0.18769741,0.9999658,0.522043,0.31683958,-0.18757261,0.99995124,0.5230399,0.3172339,-0.18719822,0.9999286,0.5107018,0.31344834,-0.2419849,0.99998474,0.50535285,0.31145278,-0.2424841,0.9999862,0.49858332,0.30942824,-0.2419849,0.999987,0.5034666,0.31581143,0.024647765,0.9999286,0.4737187,0.30816177,-0.2197707,0.9999944,0.50932324,0.34262076,-0.13890107,0.9999652,0.49848095,0.33931267,-0.20878841,0.9999883,0.44480753,0.37931606,0.2725606,0.9999031,0.42885104,0.37250102,-0.29202923,0.99999547,0.4447298,0.47876465,0.16148967,0.998345,0.43530956,0.47933406,-0.23686814,0.999826,0.48637968,0.46309564,-0.21178359,0.9986436,0.5071649,0.45728657,0.008977715,0.9998499,0.50474226,0.45825613,-0.2539656,0.9988927,0.5248479,0.4502784,0.006629937,0.9997695,0.5004999,0.44856405,-0.2638247,0.9989718,0.51607007,0.43984288,-0.002308778,0.9998074,0.4894649,0.45082444,-0.23062819,0.9989267,0.5080972,0.44155252,0.018251827,0.9998568,0.4189784,0.5868168,0.18482704,0.9996526,0.43782037,0.5874907,-0.18470225,0.99981624,0.37299693,0.72860205,0.19880451,0.99993074,0.53759533,0.7113786,-0.147637,0.99997306,0.29124653,0.861249,0.23262498,0.99971753,0.57881767,0.8680858,-0.1159381,0.9991135,0.2607635,0.88505495,0.23175138,0.99921143,0.5595931,0.8980771,-0.1159381,0.99827254,0.3639696,0.88780916,0.17659032,0.99863297,0.67620194,0.89875853,-0.20167488,0.99491996
0.52647257,0.33294812,-0.24618684,0.99996924,0.5291355,0.31913412,-0.2074468,0.99992454,0.5301533,0.31952733,-0.20719686,0.99989843,0.5310783,0.31992742,-0.20719686,0.99985576,0.52052104,0.31639695,-0.26118302,0.99996805,0.5146135,0.31433937,-0.26068315,0.999972,0.50832075,0.31234574,-0.26118302,0.9999747,0.51050276,0.31836084,0.003503008,0.9998313,0.48228085,0.31090823,-0.23543961,0.99998605,0.51821804,0.34509405,-0.16120866,0.99986124,0.5074321,0.34204778,-0.23044091,0.99994934,0.45406908,0.3838583,0.25618428,0.9996898,0.43392387,0.37641257,-0.31591898,0.99998164,0.4436257,0.4822273,0.25430977,0.99806577,0.4399411,0.4839164,-0.3524096,0.9997154,0.48348412,0.49840486,0.005771957,0.99686414,0.515012,0.45866567,-0.26193282,0.999795,0.49787986,0.49726918,-0.018963886,0.99736834,0.5304663,0.4502606,-0.292425,0.9997131,0.51440024,0.51391894,-0.04979973,0.99732697,0.5238091,0.44004422,-0.29142526,0.9997284,0.5070677,0.5111504,-0.01791728,0.9971771,0.51660645,0.44245178,-0.2538099,0.9997868,0.42748392,0.5900043,0.18845166,0.99943405,0.44590276,0.590254,-0.18845166,0.9997305,0.3788894,0.7320026,0.21257047,0.9998313,0.55303097,0.71166867,-0.17770442,0.9999435,0.29041326,0.8602287,0.26868108,0.9994536,0.57966876,0.8668587,-0.13721481,0.9988796,0.26056278,0.8832193,0.27043065,0.9984207,0.55823374,0.89841837,-0.13621506,0.9976586,0.3640993,0.88932586,0.20307292,0.9974885,0.67608374,0.8996416,-0.23468979,0.9928231
0.5356972,0.33405918,-0.25496116,0.999943,0.5384635,0.3202138,-0.21532275,0.99987364,0.53988177,0.32062376,-0.21569788,0.9998233,0.54116154,0.32107925,-0.21557283,0.9997584,0.5296899,0.3175221,-0.26984116,0.9999461,0.52337396,0.31560868,-0.2695911,0.99995387,0.51707345,0.31390604,-0.26984116,0.99995995,0.5211388,0.3205458,-0.007275896,0.9997154,0.49134487,0.31336468,-0.24595812,0.9999788,0.5283504,0.3470661,-0.1710578,0.9997731,0.5166706,0.34373033,-0.23970598,0.99992573,0.47162634,0.38952607,0.24370734,0.9995005,0.4433191,0.37904775,-0.32786077,0.9999795,0.46490267,0.48457974,0.23632985,0.9967269,0.44888157,0.48815072,-0.3536195,0.9996388,0.49801737,0.4984493,-0.031979557,0.9948803,0.5264351,0.4633679,-0.2565867,0.9997428,0.5130938,0.49713695,-0.06145827,0.99611557,0.54270774,0.45649382,-0.28984794,0.99964714,0.519026,0.51538223,-0.09240622,0.99608517,0.5368399,0.44501525,-0.28959784,0.9996699,0.5127369,0.5116507,-0.056581616,0.9956006,0.52931017,0.44866183,-0.24870904,0.9997347,0.43968576,0.59373295,0.18756337,0.9992563,0.4541384,0.59339726,-0.18731329,0.9997063,0.3919168,0.7376553,0.2465833,0.9997565,0.5689082,0.7122312,-0.18518758,0.9999422,0.2950211,0.8593579,0.3276107,0.9994,0.58119607,0.8665154,-0.14154783,0.9990073,0.26247692,0.8799012,0.3306117,0.9984145,0.55877995,0.8970341,-0.14004733,0.9979493,0.37138394,0.8898674,0.26608992,0.9976586,0.68070817,0.89905256,-0.24070634,0.994089
0.5466168,0.33794552,-0.24946605,0.99995315,0.5492022,0.32393,-0.2116074,0.99989367,0.5507542,0.32427382,-0.21135667,0.9998523,0.5523296,0.32466233,-0.21185811,0.9997998,0.5396181,0.32171482,-0.26601356,0.99995565,0.53342265,0.3200463,-0.266515,0.9999635,0.5269939,0.3185049,-0.266515,0.99996877,0.53427196,0.32534426,-0.0121599035,0.9997677,0.50224656,0.3188813,-0.25410438,0.9999852,0.53965044,0.3509665,-0.16911042,0.99983525,0.5276193,0.34847185,-0.2386851,0.9999497,0.48334137,0.397062,0.23304394,0.9995728,0.4537028,0.38907793,-0.33446002,0.99998724,0.47543636,0.49613714,0.21210884,0.99690056,0.4563181,0.5001372,-0.33571362,0.9996215,0.51261455,0.52767956,-0.06700483,0.99482024,0.5385895,0.46858117,-0.1925527,0.99981624,0.5255989,0.5374293,-0.09997447,0.99605453,0.55352724,0.46001303,-0.21850218,0.9997584,0.52713966,0.52824795,-0.12899527,0.99605453,0.5477586,0.44774345,-0.21586964,0.99977833,0.52184576,0.52434415,-0.09145,0.9956346,0.5406757,0.4521197,-0.18214783,0.9998191,0.45124006,0.6012038,0.19042158,0.99947864,0.46285623,0.60178185,-0.1900455,0.99983,0.4105696,0.7460517,0.25924414,0.99980587,0.58789676,0.71255285,-0.17048937,0.99995863,0.29758078,0.8600495,0.34248307,0.9995327,0.5819777,0.86898077,-0.10473814,0.99923575,0.2628311,0.8820209,0.34624386,0.9987649,0.5576914,0.8988896,-0.1007893,0.9984084,0.37259638,0.89098257,0.28105673,0.9980276,0.679816,0.9013509,-0.19305414,0.995037
0.5577736,0.3473689,-0.23562758,0.9999349,0.5604701,0.3336188,-0.2007106,0.99986017,0.56180936,0.3339418,-0.20046297,0.99980587,0.56303614,0.3342958,-0.20058678,0.9997347,0.5520501,0.3313863,-0.2560577,0.99994266,0.5457999,0.3297441,-0.25556242,0.99995387,0.53975046,0.32828504,-0.25630534,0.99995935,0.54259115,0.3337968,-0.011638986,0.9997131,0.5143064,0.328081,-0.25531477,0.9999821,0.54977506,0.3604108,-0.1577454,0.9998148,0.53859115,0.35748255,-0.22770315,0.999944,0.49462068,0.4054992,0.23364645,0.9996259,0.46508276,0.39817315,-0.34050226,0.9999882,0.48740768,0.49725688,0.2239886,0.9973786,0.46701723,0.50864846,-0.34000698,0.9997017,0.5273454,0.49946567,-0.044729613,0.9962346,0.54838616,0.4768239,-0.19427201,0.9998499,0.5372304,0.50907797,-0.07812979,0.99724233,0.565775,0.4705293,-0.22126456,0.99979657,0.5370125,0.49488488,-0.10574143,0.99722075,0.5610257,0.4577531,-0.22015019,0.9998104,0.52364594,0.4970977,-0.06890527,0.9969246,0.5533427,0.461498,-0.18424268,0.9998535,0.45789984,0.6085923,0.19439583,0.9996499,0.47167936,0.6099878,-0.19390056,0.99988043,0.4222516,0.7530762,0.28131676,0.9998697,0.60248,0.7151958,-0.16170761,0.99996495,0.29706916,0.8572204,0.37343812,0.9996526,0.58139086,0.8712708,-0.06525262,0.9994,0.26352507,0.87866974,0.3786385,0.99908185,0.5556682,0.8979337,-0.05708056,0.9988575,0.36861712,0.89263195,0.31821483,0.99839586,0.679032,0.9066163,-0.13793437,0.9963924
0.57059556,0.35460138,-0.26078236,0.999944,0.57311386,0.34186298,-0.22316009,0.9998785,0.5745432,0.3423415,-0.22328264,0.9998247,0.575872,0.34285334,-0.22303754,0.9997508,0.5644352,0.3389624,-0.2767136,0.9999567,0.55824405,0.33744738,-0.2769587,0.99996626,0.5521595,0.33612862,-0.2772038,0.99997294,0.55679035,0.3429439,-0.024555575,0.9996898,0.5271587,0.33637947,-0.26029214,0.9999871,0.56376356,0.36795613,-0.180881,0.99980587,0.5519551,0.3644492,-0.24901775,0.99995244,0.51486886,0.41715744,0.22536595,0.9995122,0.476209,0.40906084,-0.34975228,0.9999906,0.50182396,0.5084542,0.22230226,0.99632156,0.47355372,0.5199579,-0.417889,0.9997284,0.53416055,0.5471608,-0.037193347,0.99178034,0.5570188,0.4886622,-0.372056,0.9998776,0.54401916,0.55894643,-0.06874948,0.9938548,0.5752795,0.48290384,-0.41592824,0.99983394,0.5437982,0.549489,-0.09816103,0.9937588,0.5708316,0.47076318,-0.40931064,0.99984527,0.5391808,0.5458237,-0.060875766,0.99293363,0.56311965,0.47281486,-0.3615169,0.9998785,0.4679167,0.6175139,0.19423874,0.99967754,0.4774546,0.6188319,-0.19399363,0.99990976,0.44349003,0.76133007,0.2953409,0.99981624,0.61662936,0.71793944,-0.16654286,0.9999641,0.3058489,0.85107046,0.4058793,0.99964166,0.5813359,0.8680864,-0.05217485,0.9994,0.27083048,0.865858,0.41298708,0.99911696,0.5572244,0.89147377,-0.042891834,0.9988167,0.36996225,0.8938757,0.3539189,0.9983834,0.6792855,0.9035167,-0.13100392,0.9961306
0.5824836,0.36764857,-0.2216761,0.999972,0.5849848,0.35417402,-0.18635409,0.9999461,0.5858072,0.3545473,-0.18586688,0.99991965,0.58644396,0.35499412,-0.18586688,0.99989605,0.57587445,0.3515279,-0.2411641,0.9999782,0.5705358,0.35018247,-0.2414077,0.99998224,0.5643665,0.3488052,-0.24152952,0.9999852,0.5658809,0.35432315,0.0032847952,0.99986756,0.5404198,0.348241,-0.24079871,0.9999925,0.57338756,0.38022664,-0.14421126,0.99989843,0.5636538,0.37741578,-0.2146117,0.9999722,0.5184774,0.42541474,0.24895933,0.99980587,0.48950952,0.42121074,-0.33738616,0.99999416,0.50959253,0.51869,0.2494465,0.9985562,0.48127377,0.531706,-0.3926834,0.9998511,0.5455623,0.5228191,0.004164039,0.99749833,0.56509215,0.5003929,-0.30425653,0.9999329,0.55737764,0.53259367,-0.02350741,0.9980276,0.5832154,0.4954749,-0.34152734,0.99990237,0.5577638,0.5187483,-0.051704124,0.9980122,0.5790732,0.48110044,-0.33616814,0.99991107,0.5538586,0.51978683,-0.018833334,0.9978173,0.57182336,0.4845743,-0.29426894,0.9999318,0.47158703,0.62822604,0.19755968,0.999949,0.4803556,0.6287847,-0.19743788,0.9999833,0.4706211,0.77347064,0.2334907,0.9999478,0.6347133,0.72009695,-0.19390568,0.9999864,0.31361395,0.8464449,0.32764214,0.99990535,0.5834134,0.87053484,-0.08501644,0.99971753,0.27711558,0.85383356,0.33592454,0.9997508,0.5576842,0.8924933,-0.07636864,0.999445,0.35961443,0.88874185,0.2808709,0.9993228,0.6812819,0.9031411,-0.15967987,0.99773055
0.5908906,0.37986258,-0.24457495,0.99998975,0.5942942,0.36636293,-0.20565699,0.99997735,0.5957082,0.36691067,-0.20565699,0.9999654,0.5968037,0.36750194,-0.20553537,0.9999509,0.5835646,0.36339754,-0.2607502,0.99999166,0.57766825,0.36171204,-0.2607502,0.9999931,0.5709412,0.360147,-0.2602637,0.9999944,0.5775702,0.3672533,-0.0013454054,0.9999349,0.5468318,0.35929796,-0.23995344,0.99999726,0.58235997,0.39284965,-0.1624824,0.99995315,0.57143205,0.3897412,-0.2319266,0.9999894,0.5289723,0.4389354,0.2556422,0.99989283,0.49719918,0.43423674,-0.33299163,0.9999976,0.5303218,0.530123,0.25175044,0.9991768,0.48774618,0.5455238,-0.39209825,0.99994075,0.56686115,0.52590585,0.0030176607,0.9990226,0.574194,0.5149387,-0.288236,0.9999764,0.57635075,0.5231008,-0.023624405,0.9992022,0.59299916,0.5096544,-0.32058653,0.99995804,0.5736132,0.51286423,-0.044694822,0.9992053,0.5888712,0.49535802,-0.3130462,0.9999641,0.5691341,0.5145166,-0.016570529,0.9991441,0.58072937,0.499245,-0.27680385,0.99997437,0.4760446,0.64364517,0.1984815,0.999987,0.48501062,0.6415525,-0.19811665,0.99999595,0.484906,0.79055494,0.20091386,0.9999763,0.64840657,0.7242758,-0.19872473,0.9999937,0.31961918,0.8383963,0.30258697,0.9999509,0.5838006,0.86825085,-0.06774154,0.99983394,0.28426045,0.84193957,0.3125597,0.9998666,0.5567585,0.89001465,-0.056126967,0.9996724,0.35789955,0.8895155,0.26366904,0.9995435,0.67972744,0.90181065,-0.132321,0.99845123
0.59982115,0.39547703,-0.22350019,0.99999416,0.60400736,0.38195944,-0.18364184,0.999987,0.6057693,0.38232505,-0.18351957,0.9999794,0.6070077,0.38271883,-0.18388636,0.9999683,0.59301895,0.3790642,-0.2387833,0.99999535,0.58694,0.3771949,-0.23866102,0.9999964,0.58028805,0.37555596,-0.23853877,0.9999969,0.58734417,0.3816583,0.02020427,0.99995804,0.55596364,0.37455523,-0.2199545,0.9999987,0.59093064,0.40822652,-0.14256084,0.99996924,0.5793114,0.4051157,-0.21151823,0.9999939,0.5381413,0.45210454,0.26409212,0.99991655,0.5053597,0.4490925,-0.308352,0.99999857,0.5387136,0.5439184,0.21970998,0.99929035,0.49450037,0.56583345,-0.31104183,0.9999535,0.5750754,0.5512023,-0.08375144,0.9991541,0.58057547,0.52545154,-0.12972303,0.99998045,0.58153397,0.5370797,-0.1200641,0.9993068,0.5982324,0.52248734,-0.14635105,0.99995995,0.5788213,0.5275806,-0.13388003,0.9992931,0.5950075,0.5087264,-0.14549519,0.99996674,0.5798776,0.5456494,-0.10227457,0.9992563,0.5863277,0.51248825,-0.11749654,0.99997723,0.48587948,0.65662944,0.1907332,0.99999666,0.48937574,0.65474147,-0.19048867,0.99999917,0.49478436,0.8028333,0.16297908,0.9999851,0.66285205,0.7250037,-0.203571,0.99999726,0.32486516,0.8358335,0.23340362,0.99996734,0.5861305,0.8697847,-0.086808056,0.9999008,0.28983855,0.8359858,0.24147312,0.99991107,0.5550521,0.8912989,-0.07672121,0.99978346,0.35023403,0.88986105,0.20088118,0.9996567,0.6755212,0.9015455,-0.1451284,0.99880743
0.6029791,0.40294534,-0.21356983,0.9999833,0.6045363,0.388615,-0.17936432,0.9999654,0.6055929,0.38881052,-0.17875133,0.9999473,0.60646987,0.38906673,-0.17899653,0.99992514,0.5956277,0.38652906,-0.2334311,0.99998677,0.59002227,0.38513148,-0.2334311,0.9999895,0.5839,0.38365623,-0.2330633,0.9999912,0.5860124,0.38849497,0.0056357854,0.99991775,0.5597209,0.38265717,-0.2296305,0.9999964,0.5936026,0.4148431,-0.13964182,0.9999478,0.58411914,0.41303527,-0.20780763,0.9999877,0.5354296,0.45888755,0.24397475,0.99991775,0.51230335,0.45817834,-0.31606373,0.99999833,0.53119653,0.55401003,0.21013704,0.99918956,0.49720213,0.57768005,-0.28541365,0.99992454,0.5772451,0.5617883,-0.054924965,0.9990452,0.5799146,0.53501207,-0.055721864,0.9999615,0.58026797,0.5526119,-0.08385865,0.9991959,0.59891504,0.52909064,-0.06375219,0.99993074,0.5899499,0.5566999,-0.098815896,0.99918646,0.5905739,0.5175601,-0.061177585,0.9999417,0.5820427,0.5566454,-0.07251812,0.9991441,0.5813422,0.5218792,-0.042082574,0.99995863,0.48938242,0.6629342,0.18598475,0.99999416,0.49359098,0.6639766,-0.18573955,0.99999845,0.49629,0.80778354,0.16514269,0.99998176,0.67172647,0.7265839,-0.20351662,0.9999963,0.32920083,0.83715177,0.22999829,0.9999478,0.5881436,0.87106377,-0.09103077,0.99984646,0.2924087,0.8355043,0.2353927,0.9998579,0.5571468,0.889892,-0.08097754,0.9996947,0.35587427,0.891118,0.19174698,0.999529,0.67474324,0.9055929,-0.14344242,0.9984022
