x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.4751572,0.32546216,-0.1898337,0.9999707,0.48136717,0.3120406,-0.1486618,0.9999422,0.48300326,0.31291026,-0.14853151,0.9999263,0.4843656,0.31370527,-0.14853151,0.9999069,0.4725183,0.3067574,-0.19517563,0.9999635,0.46678272,0.3037526,-0.19504534,0.9999629,0.46042362,0.3009274,-0.19491504,0.9999615,0.46784797,0.31086695,0.048403036,0.99990237,0.43760467,0.29846618,-0.16130002,0.9999697,0.4654712,0.33588278,-0.111333504,0.99980587,0.45418823,0.3301044,-0.1714627,0.9998945,0.41189033,0.36862582,0.27256837,0.9997584,0.38326263,0.3576174,-0.26735672,0.99996054,0.3979313,0.47077876,0.34787646,0.99947256,0.3866611,0.4568413,-0.3955629,0.9997918,0.43212238,0.5504204,0.23413259,0.9991959,0.46136582,0.52380335,-0.46904692,0.99967504,0.44588464,0.57588494,0.23022383,0.99877447,0.47003046,0.5485066,-0.5224661,0.9994116,0.45224774,0.5732056,0.18540382,0.99882597,0.48218244,0.5421959,-0.515691,0.9994622,0.450156,0.5630256,0.20976819,0.9988927,0.47936937,0.5362417,-0.4648776,0.999529,0.40544978,0.56713414,0.17771666,0.99950254,0.4107927,0.5671425,-0.17784695,0.99960023,0.37314722,0.70684046,0.16599049,0.9995453,0.5027274,0.7017504,-0.18462208,0.9995592,0.3082078,0.8487014,0.21719478,0.998606,0.4423524,0.85882163,-0.14931326,0.9977569,0.27770138,0.8758183,0.21693419,0.9962782,0.41221386,0.88376975,-0.1486618,0.9960699,0.37550905,0.87638944,0.1529614,0.9958175,0.5190044,0.9042745,-0.24546787,0.9935369
0.47599798,0.32701856,-0.20883605,0.99996805,0.4808312,0.31309178,-0.16694072,0.9999324,0.48249307,0.31358516,-0.16732508,0.99991035,0.48375627,0.31397378,-0.16706884,0.9998876,0.4717643,0.3090039,-0.21344838,0.9999615,0.46658176,0.30690178,-0.21383274,0.99996173,0.46052155,0.30475178,-0.2135765,0.9999629,0.46570963,0.31086662,0.035393223,0.99988496,0.43813157,0.30108374,-0.17360297,0.99997306,0.46683338,0.337607,-0.12895305,0.999795,0.45616594,0.33324167,-0.189618,0.99990165,0.4102723,0.3677574,0.26905257,0.99978,0.38613278,0.36044586,-0.2698213,0.9999697,0.40068063,0.46861598,0.3392625,0.9992848,0.38092428,0.46145543,-0.34669346,0.99971086,0.43119416,0.5483238,0.20729859,0.9984573,0.46215045,0.528144,-0.3438748,0.9993228,0.4440053,0.57248753,0.19768958,0.99783427,0.4720085,0.5502293,-0.38512954,0.9988575,0.45248973,0.5694163,0.15707545,0.9978594,0.4823547,0.54501426,-0.38461706,0.9989141,0.45176512,0.55977035,0.18346822,0.997851,0.47973835,0.53931993,-0.33951873,0.9990564,0.39867455,0.57154316,0.17783093,0.999529,0.41433692,0.57176995,-0.17783093,0.99963593,0.3668533,0.71117836,0.16540328,0.9996458,0.5198664,0.69372255,-0.18743996,0.9995827,0.30902064,0.8518581,0.2010207,0.9982248,0.4505256,0.8519154,-0.1206893,0.9971551,0.27962995,0.8775003,0.1997395,0.99482024,0.42217246,0.8763128,-0.11543637,0.99522626,0.37528533,0.8800461,0.13901049,0.9934865,0.525495,0.9034744,-0.18282762,0.990732
0.48001182,0.32622612,-0.2150681,0.9999747,0.48560798,0.3147733,-0.1688005,0.9999422,0.48700464,0.31536236,-0.16854629,0.99992514,0.48840263,0.31578857,-0.1688005,0.9999008,0.47536665,0.31025884,-0.21735607,0.99996877,0.4700843,0.30795017,-0.2178645,0.9999707,0.4638345,0.30553913,-0.21748318,0.99997115,0.47238955,0.31324363,0.046045166,0.99989367,0.44037017,0.30217588,-0.17007159,0.99997985,0.47092205,0.33831805,-0.13003232,0.9998273,0.45845652,0.33385867,-0.19269696,0.99992275,0.41590104,0.3701947,0.2887912,0.99972194,0.38800728,0.36154568,-0.27201286,0.99997246,0.40242568,0.47285625,0.35158297,0.99900347,0.38522294,0.4643264,-0.35997215,0.99972194,0.42960718,0.5502481,0.20667893,0.9974788,0.46422678,0.5269439,-0.3706493,0.9992735,0.44163314,0.5718796,0.1975271,0.99648935,0.47129065,0.5495634,-0.41615424,0.9987453,0.4513749,0.56898224,0.15685228,0.9966102,0.48584923,0.54338014,-0.41157833,0.99879336,0.45131996,0.5624976,0.18227403,0.9965166,0.48105446,0.537865,-0.3650565,0.9989759,0.4013747,0.57247996,0.1832909,0.999015,0.41193005,0.569579,-0.18316379,0.9993487,0.3667341,0.7084968,0.17680836,0.9993687,0.53365743,0.6783369,-0.20006926,0.9994684,0.30959225,0.8497837,0.22434705,0.99743915,0.47896412,0.83795923,-0.1456667,0.9961606,0.2856247,0.8767103,0.22536391,0.9932811,0.45660612,0.8611276,-0.14172633,0.99341017,0.38229856,0.8754145,0.16752942,0.9924521,0.5578134,0.89237,-0.21532233,0.98780584
0.4809883,0.32800764,-0.2115106,0.99998367,0.48637003,0.31632233,-0.16603394,0.9999627,0.48744833,0.3168087,-0.16590796,0.9999509,0.48835504,0.3171371,-0.16603394,0.999936,0.47701487,0.31227425,-0.21705347,0.99997973,0.47207662,0.31005913,-0.21768335,0.99998045,0.4661628,0.30751395,-0.21705347,0.99998057,0.47068325,0.31339508,0.048122127,0.9999292,0.4428117,0.30321935,-0.18152876,0.9999869,0.47098917,0.33968425,-0.12610012,0.9998859,0.4596707,0.33583754,-0.1929924,0.9999461,0.4180766,0.3705467,0.2899925,0.99982184,0.38993913,0.3601272,-0.28797692,0.99998224,0.4034661,0.4735503,0.35650685,0.9992505,0.3871161,0.46299413,-0.39152768,0.99981624,0.4388481,0.5466838,0.20269242,0.9983059,0.46593815,0.52539647,-0.4157147,0.9995159,0.45366874,0.5679967,0.19022097,0.9977482,0.47563893,0.5472009,-0.4658524,0.9991959,0.459264,0.56605,0.14801963,0.9978002,0.48724735,0.5422624,-0.46081346,0.9992206,0.45786932,0.55576646,0.1773716,0.9978173,0.4842502,0.53634393,-0.4104238,0.9993411,0.40897983,0.5677461,0.18946514,0.9993358,0.41296738,0.56823105,-0.18921319,0.9995778,0.36510321,0.7115817,0.17296252,0.99963164,0.53848237,0.6798562,-0.20319632,0.99971753,0.30805007,0.850811,0.21239242,0.99866986,0.5023969,0.84141576,-0.13932742,0.99780875,0.2848176,0.8781382,0.21188852,0.99657035,0.4754542,0.8694983,-0.13504429,0.9962782,0.37873265,0.879649,0.14373651,0.9955835,0.5801393,0.8944566,-0.21491191,0.99242276
0.4873485,0.3303114,-0.22396585,0.9999882,0.4923452,0.31885839,-0.18037519,0.9999714,0.4939262,0.31936347,-0.1799994,0.9999621,0.49533457,0.3196326,-0.18012466,0.9999517,0.48451218,0.31424314,-0.23248357,0.999984,0.47912592,0.31158203,-0.23260882,0.99998426,0.4733254,0.3089126,-0.23298462,0.999984,0.47649792,0.31547973,0.03153434,0.9999443,0.44795242,0.30447528,-0.20354839,0.999987,0.47703445,0.34178236,-0.13954024,0.99990535,0.466034,0.33714348,-0.20768198,0.9999517,0.42130628,0.37238285,0.26805755,0.99982053,0.39510491,0.3628573,-0.29912218,0.99997187,0.40597787,0.47184744,0.33670035,0.99946004,0.39095718,0.4621239,-0.42488375,0.99980134,0.44090113,0.5441843,0.20129369,0.99898773,0.4673456,0.5241635,-0.48500884,0.9996259,0.45655257,0.56482357,0.19340228,0.99861145,0.47541544,0.54705966,-0.5376183,0.9994319,0.46392447,0.5627495,0.15231682,0.9986802,0.4889004,0.54100734,-0.5301026,0.99947053,0.46148586,0.552888,0.17786998,0.99871576,0.4858514,0.5349137,-0.47924682,0.999529,0.41239542,0.57417274,0.18676347,0.9993228,0.42569566,0.5712209,-0.18651295,0.9995363,0.3658224,0.70939714,0.19753587,0.99963164,0.54037744,0.6846949,-0.18776555,0.9997527,0.31016433,0.85131717,0.25164843,0.999134,0.5523803,0.8483562,-0.13665925,0.9983897,0.2837026,0.8780544,0.25340208,0.99789256,0.5317627,0.8764319,-0.13465509,0.9970536,0.3806496,0.8785586,0.18688872,0.99740905,0.6422621,0.8827584,-0.22722262,0.99371004
0.49710453,0.33122486,-0.20597042,0.99999154,0.50221664,0.3185812,-0.16172677,0.9999788,0.50315106,0.31908077,-0.16160178,0.99997187,0.5045684,0.3194775,-0.1614768,0.9999646,0.49376154,0.31445366,-0.21371931,0.999987,0.48903525,0.31201935,-0.21396926,0.9999865,0.4837815,0.30941075,-0.21421923,0.9999863,0.4851767,0.3161285,0.04861802,0.9999609,0.4582764,0.30550665,-0.18747307,0.9999876,0.48676258,0.34258935,-0.12204497,0.99993134,0.47579145,0.33879802,-0.19034766,0.99996054,0.4196551,0.37243938,0.28020975,0.99988127,0.4090788,0.36441854,-0.2862089,0.99997187,0.40685937,0.47289273,0.34919983,0.9997131,0.4035223,0.4625373,-0.41943976,0.99985576,0.44334257,0.5421863,0.2240928,0.99953806,0.47728238,0.5280189,-0.48942968,0.9997428,0.45045927,0.5686329,0.21821865,0.9992563,0.48378366,0.55000436,-0.54492176,0.9995876,0.46683365,0.5646002,0.17672461,0.9993255,0.49596065,0.54476976,-0.5354231,0.99961853,0.4583435,0.55520475,0.20022124,0.99939764,0.49329248,0.5391075,-0.48393047,0.9996724,0.408234,0.57724047,0.18684816,0.99950445,0.4370912,0.57345325,-0.18697314,0.99961555,0.36840212,0.7153192,0.19322225,0.9997063,0.5441016,0.69151753,-0.18434852,0.99977833,0.30873042,0.85291326,0.24159032,0.99936634,0.5910425,0.8545385,-0.1587272,0.9984269,0.2835002,0.87826514,0.24259016,0.9984207,0.57673454,0.886249,-0.16060193,0.997065,0.3861836,0.87866116,0.17722455,0.9980276,0.6928279,0.86848694,-0.26196238,0.99368566
0.5043855,0.3328923,-0.18025614,0.99998367,0.50819767,0.3194231,-0.14017157,0.9999621,0.50871825,0.31963778,-0.14029606,0.9999521,0.509056,0.31985182,-0.14004707,0.99993896,0.50135034,0.31622097,-0.19394965,0.9999751,0.49673235,0.31388065,-0.19419862,0.99997604,0.49135262,0.31132668,-0.19394965,0.99997604,0.48836845,0.31589818,0.0549607,0.99993396,0.4655171,0.3076749,-0.1878498,0.99998105,0.49211204,0.34380758,-0.10195428,0.99988496,0.48268324,0.34040308,-0.17166659,0.99993026,0.4205803,0.3706105,0.28009415,0.99984396,0.41807184,0.3647571,-0.29279175,0.9999695,0.40606916,0.46991366,0.34557393,0.9996259,0.40828297,0.46186045,-0.381177,0.9998535,0.43917853,0.5425526,0.21996729,0.99939287,0.48229918,0.53071034,-0.37445477,0.9996486,0.4532361,0.5692446,0.21224913,0.99911696,0.4889027,0.5529353,-0.4205147,0.999445,0.46111482,0.5628376,0.17303595,0.99918,0.5016701,0.5485944,-0.41453937,0.9994746,0.45908383,0.55671006,0.19693732,0.99923277,0.4988877,0.5428018,-0.36798146,0.99955755,0.41335228,0.5782278,0.18772532,0.99933845,0.44448534,0.5752093,-0.18760084,0.9995272,0.37084895,0.7147652,0.1905885,0.9996486,0.5452019,0.70112884,-0.17926025,0.999764,0.31078693,0.8521704,0.24374416,0.9993094,0.607591,0.85922724,-0.14614691,0.99827933,0.2843935,0.87761855,0.24461558,0.9983386,0.5943936,0.89098334,-0.14751625,0.99680245,0.38137043,0.87852675,0.1752767,0.99789256,0.7091188,0.8696959,-0.25283167,0.9933072
0.52185494,0.33185092,-0.18610315,0.99998724,0.5232844,0.3185036,-0.14684507,0.99997044,0.52354014,0.3186556,-0.14672084,0.9999621,0.5236784,0.3187449,-0.14659661,0.9999517,0.51658803,0.31558302,-0.19914776,0.99998,0.51187813,0.31336325,-0.19939624,0.99997985,0.50701964,0.31117594,-0.19902353,0.9999789,0.5017544,0.3159819,0.043171458,0.9999435,0.48105437,0.30868366,-0.19392993,0.999982,0.5087631,0.34279674,-0.109512635,0.9999008,0.50114346,0.33966604,-0.17852485,0.99993944,0.43687692,0.37515765,0.26238307,0.99984765,0.43168563,0.36861783,-0.29319322,0.99996877,0.42252848,0.47599518,0.33443904,0.9997305,0.4224435,0.4681729,-0.37990883,0.9998785,0.4639588,0.5432295,0.22784594,0.9996699,0.49901962,0.53599286,-0.37344864,0.99976224,0.47713217,0.5642003,0.22101302,0.99950826,0.5057093,0.55733836,-0.41916692,0.99960953,0.48666584,0.56201303,0.18299729,0.99954,0.5161156,0.55420583,-0.41320366,0.9996444,0.4849705,0.5557058,0.2057322,0.9995859,0.5131591,0.5454963,-0.36823082,0.9997017,0.426661,0.5818156,0.18026413,0.9994746,0.45574257,0.58066726,-0.18026413,0.9995695,0.37694162,0.7188113,0.18858784,0.99968255,0.54999346,0.71114016,-0.15591419,0.99974686,0.3111987,0.85231566,0.25207162,0.9994363,0.61615145,0.86367935,-0.11454412,0.9981756,0.2852205,0.8769995,0.25405937,0.9985506,0.60363835,0.89456534,-0.11504107,0.9967524,0.38377947,0.8776705,0.18585469,0.9982926,0.7120823,0.87341696,-0.22175843,0.99394965
0.53851616,0.33232796,-0.218236,0.9999856,0.5404457,0.318486,-0.17488776,0.9999627,0.5415524,0.31878912,-0.17501232,0.99995124,0.542228,0.31905383,-0.17488776,0.999936,0.5325566,0.31503728,-0.22570984,0.9999778,0.52779514,0.3130026,-0.22595899,0.99997747,0.52198696,0.31109396,-0.22608355,0.99997663,0.52202404,0.3174122,0.03257347,0.99992037,0.49777746,0.3092868,-0.19818121,0.99997985,0.52825576,0.34420645,-0.13552555,0.99984527,0.5188711,0.3400501,-0.20241639,0.99991846,0.45170388,0.3776635,0.26631767,0.99969935,0.45223945,0.37079602,-0.29222697,0.999956,0.44315785,0.47789127,0.33707,0.99954176,0.44722307,0.46791038,-0.37942174,0.99984527,0.47868,0.5469546,0.21748862,0.99933845,0.51231414,0.5374793,-0.38315865,0.9996923,0.49085262,0.57391256,0.21126042,0.9990527,0.52036357,0.5603237,-0.42999467,0.99950635,0.5007017,0.56615543,0.17277017,0.99909246,0.5295781,0.55906343,-0.424763,0.99954,0.49864516,0.55947584,0.19506711,0.99915075,0.52436006,0.5494101,-0.3784252,0.99960953,0.43729165,0.5843639,0.18124051,0.9993761,0.4703509,0.58276457,-0.18111596,0.99950254,0.3864469,0.72007596,0.20079705,0.9995987,0.5611575,0.70673174,-0.16131029,0.9996947,0.31094033,0.8510399,0.26332814,0.9993148,0.62333757,0.8620859,-0.11547075,0.9980354,0.28365815,0.8757934,0.26631767,0.9982993,0.6062439,0.89284796,-0.115097076,0.99647564,0.38488197,0.8763635,0.20179357,0.99801993,0.71567714,0.88346964,-0.21885882,0.9936365
0.5464941,0.33298928,-0.21359318,0.9999809,0.5496042,0.31950086,-0.1706505,0.99995124,0.55122006,0.3199672,-0.1706505,0.99993694,0.55205005,0.32039282,-0.17052603,0.99991775,0.5414854,0.3156965,-0.22106148,0.99997294,0.53672725,0.31374928,-0.22143489,0.99997294,0.53092146,0.3117692,-0.22193278,0.99997354,0.53154135,0.31812772,0.036158986,0.99989927,0.5050862,0.30981907,-0.19405115,0.99997854,0.535582,0.34407756,-0.13069513,0.99982053,0.5247674,0.3401788,-0.19716294,0.99990904,0.46511084,0.37611878,0.27383742,0.99968255,0.46277317,0.36842248,-0.29026768,0.99996114,0.44955593,0.47537023,0.34379044,0.99940693,0.45074224,0.46837494,-0.37565514,0.99982053,0.48317412,0.54860735,0.21882099,0.9990452,0.52374226,0.53745246,-0.36943156,0.9995859,0.4974681,0.5699417,0.21122822,0.99869555,0.52868587,0.5594219,-0.4142413,0.9993411,0.5112102,0.5678279,0.17401123,0.9987056,0.5365083,0.55533296,-0.40851563,0.9993857,0.50417316,0.5621596,0.19616717,0.99879336,0.53398466,0.5486065,-0.36370587,0.99946636,0.44577423,0.5844,0.18496473,0.99925333,0.47901,0.5823901,-0.18471578,0.9995005,0.39037964,0.72107875,0.20351098,0.99955577,0.57371044,0.7039099,-0.17052603,0.9996898,0.31051207,0.8518972,0.2621371,0.9991541,0.62508917,0.8614959,-0.1207374,0.9976769,0.28257462,0.87671965,0.26487547,0.9979007,0.6063502,0.890671,-0.119243756,0.99596137,0.3783869,0.87608874,0.20114604,0.99746895,0.7216704,0.8881458,-0.21583368,0.99209267
