x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.61413866,0.37619638,-0.2891872,0.999972,0.61571145,0.363678,-0.24854735,0.99993646,0.61772674,0.36427572,-0.24842341,0.9999076,0.61963224,0.36491922,-0.24854735,0.99988043,0.60575616,0.3609901,-0.30108178,0.99996674,0.5999356,0.35956848,-0.30132958,0.99996734,0.5940696,0.35809925,-0.3015774,0.9999702,0.6043949,0.36720908,-0.031440124,0.99983776,0.57364583,0.35914582,-0.2661414,0.9999784,0.6079351,0.38982403,-0.20282751,0.9998535,0.5973748,0.38699248,-0.27084967,0.999943,0.56721187,0.44006813,0.22562546,0.99954873,0.51912546,0.4241209,-0.35064256,0.9999635,0.53804207,0.5289837,0.2953823,0.99916065,0.49881062,0.52907854,-0.3605547,0.9998148,0.5671581,0.5808791,0.12984926,0.9967397,0.58744013,0.49986374,-0.26663703,0.99990606,0.5755158,0.59848386,0.11498102,0.99608517,0.60528225,0.49364403,-0.3030642,0.9998511,0.57674146,0.5916637,0.07929726,0.9960238,0.6017725,0.48128536,-0.30455104,0.9998579,0.5735902,0.5841121,0.10599813,0.99605453,0.59462196,0.4834925,-0.26093754,0.9998977,0.5373882,0.6339247,0.17135641,0.99966073,0.4760773,0.6342467,-0.1712325,0.9997527,0.6377822,0.7504518,0.1514082,0.999566,0.44277564,0.77959436,-0.16082475,0.9997818,0.69896775,0.8827334,0.26242435,0.99863833,0.3160622,0.8887611,-0.011670016,0.99784267,0.6868494,0.90832144,0.26663703,0.99732697,0.28475523,0.91085726,-0.002245723,0.9955142,0.78632516,0.9117416,0.15933792,0.9935369,0.38767707,0.9353681,-0.16974568,0.9918121
0.6252452,0.38294467,-0.26460674,0.9999695,0.6269246,0.37019694,-0.2255563,0.9999349,0.62846345,0.37068427,-0.22580269,0.99991107,0.6299441,0.37119114,-0.22567947,0.99989283,0.61678123,0.36744928,-0.2786501,0.9999621,0.6114569,0.36612502,-0.2786501,0.99996114,0.60537744,0.36470386,-0.2786501,0.9999633,0.61394346,0.37363318,-0.01900167,0.9998634,0.58341783,0.36546758,-0.25549087,0.9999722,0.61864674,0.39638326,-0.18231748,0.9998666,0.6082274,0.39380342,-0.2510561,0.9999385,0.5745895,0.445866,0.22826642,0.99964297,0.52985984,0.43200886,-0.3444322,0.999949,0.53819215,0.53808415,0.2885051,0.9991672,0.50964636,0.5368355,-0.40701148,0.99964714,0.5697011,0.59971595,0.12466575,0.9967775,0.5975772,0.5013863,-0.37867835,0.9998977,0.5780372,0.61854845,0.1132093,0.9961456,0.61274284,0.49453685,-0.42376497,0.99986446,0.5803179,0.61190456,0.076868996,0.9959299,0.6087185,0.48160508,-0.41785198,0.99986553,0.5756308,0.60517627,0.1014449,0.99596137,0.6019821,0.4838088,-0.37030157,0.99989843,0.53477216,0.64141864,0.17270885,0.9997584,0.47239336,0.6419282,-0.17307842,0.99973875,0.6389355,0.7515408,0.16075967,0.99970406,0.45656887,0.79206365,-0.16100605,0.99978,0.6998397,0.8851483,0.26707047,0.9989225,0.3197738,0.88420206,0.021434624,0.9983834,0.68555844,0.91010386,0.27125886,0.997851,0.28644204,0.9013281,0.034985248,0.99679,0.78381985,0.9118602,0.16556399,0.99457306,0.38278523,0.93463427,-0.11665855,0.9940659
0.63400525,0.3916508,-0.30446947,0.99997246,0.6369821,0.37903917,-0.26576364,0.9999398,0.6390673,0.3796644,-0.2662567,0.99992156,0.6411094,0.3802621,-0.2665032,0.9999008,0.6256513,0.37575018,-0.3133447,0.9999646,0.620101,0.37412864,-0.3135912,0.9999641,0.61351293,0.37241653,-0.3135912,0.9999635,0.6268943,0.38219926,-0.05855182,0.999892,0.5926928,0.3732746,-0.2684755,0.999972,0.62796664,0.40486223,-0.22200385,0.9998535,0.6156131,0.40173662,-0.283021,0.9999274,0.5770131,0.4520063,0.19352917,0.9996345,0.5379695,0.43940145,-0.33725846,0.99991775,0.53794366,0.5456737,0.32024762,0.9993068,0.50833803,0.54462266,-0.46816805,0.9994766,0.5683928,0.6116648,0.25516266,0.9974291,0.6005641,0.51323885,-0.5620975,0.9998579,0.5789918,0.630595,0.2632983,0.99664956,0.6190283,0.5095846,-0.61830723,0.9998287,0.5824871,0.6264221,0.22459248,0.99633574,0.6165758,0.49612284,-0.6045013,0.9998313,0.5788438,0.6184511,0.23494689,0.99657035,0.6089897,0.49734518,-0.55470145,0.99986756,0.530256,0.64785546,0.16283569,0.9998591,0.47011444,0.648581,-0.16357529,0.99978846,0.6401652,0.7491272,0.1253009,0.9997017,0.46469307,0.79163414,-0.15728867,0.999608,0.70124066,0.88423485,0.20203461,0.9987888,0.32644862,0.8818401,0.033590253,0.9980506,0.6880162,0.91069406,0.20326728,0.99758446,0.289786,0.89656824,0.048690464,0.9964064,0.78318787,0.9093122,0.09731929,0.9942251,0.38571993,0.93403316,-0.08825916,0.9938309
0.6400399,0.39658615,-0.29314786,0.9999782,0.64241695,0.38351706,-0.25213692,0.9999497,0.64464265,0.3841322,-0.2518891,0.9999335,0.64657354,0.38471976,-0.252013,0.9999151,0.6319642,0.3799813,-0.3028121,0.9999685,0.6260122,0.37814152,-0.30330768,0.9999678,0.62006676,0.3764447,-0.3030599,0.99996626,0.6301646,0.3865821,-0.033948656,0.99990606,0.5987005,0.377849,-0.2584558,0.99997663,0.6319711,0.4100568,-0.20765674,0.99988043,0.6216482,0.4072022,-0.27282825,0.99994075,0.5876455,0.457808,0.22128576,0.9997695,0.5404013,0.44545352,-0.32957453,0.9999324,0.55508804,0.54813623,0.28199685,0.9997017,0.5084083,0.5494607,-0.28843966,0.9997508,0.5976383,0.5724823,0.13406003,0.9991272,0.601424,0.5194292,-0.10996143,0.99986553,0.60677505,0.5816676,0.12823671,0.99886644,0.619608,0.51533717,-0.1274933,0.99977654,0.6128392,0.57447904,0.09942991,0.9987888,0.61753494,0.50118077,-0.13083862,0.9997998,0.60619473,0.5709556,0.11460768,0.998884,0.6101087,0.5038226,-0.102713265,0.9998535,0.5305498,0.6484268,0.16540676,0.999943,0.46697605,0.6504848,-0.16540676,0.99986553,0.64329326,0.745452,0.040856093,0.9998795,0.47098038,0.79649043,-0.12408605,0.99980134,0.6999714,0.88459057,0.038966615,0.99939525,0.330873,0.88119835,0.10952778,0.99780875,0.6866019,0.91079044,0.033081353,0.9985619,0.2936371,0.8933125,0.12811281,0.99568534,0.78794265,0.9130706,-0.06733976,0.9953181,0.3890311,0.9318495,0.00907569,0.9932811
0.6530265,0.4119525,-0.28840724,0.9999417,0.6566894,0.39959505,-0.25020266,0.99987173,0.65866375,0.40005624,-0.25045234,0.99983776,0.6608092,0.40055847,-0.25095177,0.99979657,0.6453252,0.39589402,-0.29664746,0.99991775,0.6397962,0.39396524,-0.29664746,0.9999138,0.63318366,0.3918873,-0.29639775,0.9999118,0.6458957,0.4007579,-0.047662105,0.9997749,0.61156666,0.3915453,-0.25319907,0.999928,0.64618576,0.42514846,-0.2080028,0.9996699,0.63392884,0.4217146,-0.2681813,0.99982184,0.59600574,0.47150895,0.20400755,0.99953806,0.5550219,0.46075913,-0.31912073,0.99980587,0.5587953,0.5559965,0.3223669,0.9996458,0.514471,0.5581471,-0.35707563,0.9995728,0.6009197,0.56367594,0.25070205,0.9992053,0.6111425,0.53588814,-0.31362727,0.99981624,0.6094473,0.5661184,0.25894225,0.99895155,0.62858933,0.5347862,-0.34533957,0.99973875,0.626481,0.5824241,0.22673053,0.998844,0.628042,0.5205985,-0.34134433,0.9997508,0.6080874,0.55296063,0.23259857,0.9989434,0.621534,0.5215875,-0.3066356,0.99981624,0.52603304,0.658963,0.16130829,0.99992514,0.46498019,0.6615033,-0.16130829,0.9997695,0.649594,0.74529177,0.03814217,0.9997677,0.4911636,0.8095064,-0.1496971,0.9994684,0.7021246,0.8823194,0.04201257,0.99889696,0.33853933,0.87883127,0.100380704,0.99608517,0.6866416,0.9100634,0.03804853,0.9976311,0.29656932,0.88580126,0.12210488,0.99333304,0.7941967,0.91202664,-0.051001888,0.99351174,0.389221,0.9339505,0.022098737,0.9916842
0.6601289,0.42119732,-0.2377878,0.99986124,0.6617095,0.40747598,-0.2048518,0.9997154,0.6632079,0.407848,-0.20535085,0.99964297,0.6647406,0.40830925,-0.20535085,0.9995435,0.6524207,0.40453243,-0.25188538,0.99980444,0.6469705,0.40268686,-0.2521349,0.9998029,0.64118445,0.40087593,-0.25176063,0.9997998,0.64714587,0.4079563,-0.028507091,0.9995453,0.6182307,0.40015745,-0.23529264,0.99986124,0.6506919,0.43376875,-0.16705029,0.9995005,0.64046854,0.43079692,-0.2269339,0.9997284,0.59836304,0.47803736,0.1963683,0.99939287,0.55679834,0.4647792,-0.30889955,0.9997695,0.5668446,0.55700344,0.27371794,0.9996699,0.51307476,0.5669739,-0.26074317,0.99957615,0.6143534,0.545423,0.19212654,0.9993538,0.6124865,0.5413416,-0.06830473,0.9997131,0.6299407,0.54247135,0.19574451,0.9992206,0.6338954,0.539202,-0.077100135,0.99954695,0.62867785,0.5383599,0.17079301,0.999134,0.631562,0.52630097,-0.07922101,0.9995778,0.62374383,0.5394598,0.17690614,0.99918324,0.6225581,0.5264208,-0.05979003,0.99968493,0.52579576,0.661102,0.15133084,0.99991846,0.46466032,0.6662183,-0.15120609,0.99974686,0.65253997,0.7431755,-0.010386062,0.9997284,0.48592907,0.8152395,-0.13124488,0.9993538,0.69972754,0.8814003,-0.0349321,0.99851626,0.33405036,0.87867934,0.10623101,0.9923341,0.68449926,0.9095446,-0.04048381,0.99664956,0.29524797,0.88573366,0.12712789,0.98651993,0.7917006,0.9088374,-0.11758395,0.99094474,0.38869,0.93072814,0.037707955,0.98498523
0.6675917,0.42860696,-0.26476416,0.99973255,0.6697853,0.4157547,-0.23030514,0.99947256,0.6720979,0.41636354,-0.23030514,0.9993487,0.67413545,0.4169407,-0.23055308,0.9991991,0.6590084,0.41259414,-0.27220136,0.99964297,0.6528424,0.41085097,-0.27195343,0.9996331,0.6466558,0.40919402,-0.27220136,0.9996259,0.65842295,0.41847542,-0.04964328,0.99910307,0.6243392,0.41026628,-0.23328002,0.9996971,0.6608296,0.4418708,-0.19349104,0.99869555,0.64840555,0.43903553,-0.24716279,0.9992679,0.6050434,0.48829296,0.19101198,0.99854493,0.5685981,0.47738248,-0.30666035,0.9993175,0.5669748,0.56543744,0.32475752,0.9995272,0.52420276,0.5748471,-0.27988645,0.9991704,0.61591274,0.56530404,0.31335384,0.99898773,0.6173948,0.5547044,-0.14651275,0.99939287,0.6265054,0.5742391,0.32897192,0.9987257,0.6362243,0.55390215,-0.16349435,0.9990996,0.6311582,0.5613912,0.29847944,0.9985221,0.63649017,0.54041034,-0.16188295,0.999134,0.6261739,0.56225616,0.29872733,0.99860066,0.6273979,0.5426071,-0.13919951,0.9993228,0.524645,0.6670039,0.15295832,0.9998535,0.46789652,0.6727921,-0.15295832,0.99953806,0.6571576,0.74506193,0.023953969,0.99949265,0.49522892,0.8195179,-0.16089132,0.9989434,0.701731,0.880796,0.028338812,0.99812514,0.33728197,0.8755111,0.045273926,0.9914556,0.685181,0.90789324,0.024542745,0.9961606,0.2998911,0.88182163,0.06309221,0.98555213,0.79103404,0.9116079,-0.038859345,0.98959166,0.38682306,0.9305159,-0.023396177,0.98282325
0.6749394,0.44306377,-0.23951261,0.9998535,0.6770988,0.4295478,-0.20822883,0.99968004,0.6792485,0.4301633,-0.20847613,0.999608,0.6812869,0.43085048,-0.20897073,0.99950635,0.6673142,0.4268472,-0.24965201,0.99978346,0.6614498,0.42517185,-0.25002298,0.99978346,0.65563226,0.42381585,-0.24977568,0.99978846,0.6649952,0.43207642,-0.043741655,0.9994967,0.6325476,0.42449313,-0.22281967,0.99983656,0.6672112,0.45681885,-0.17385375,0.9995122,0.6555934,0.45401135,-0.22603461,0.99974483,0.6101674,0.49873352,0.1770687,0.99929583,0.5758311,0.49315616,-0.2910752,0.99971753,0.5692885,0.5762684,0.25496903,0.99957615,0.5233476,0.5908603,-0.2351848,0.99922967,0.61726105,0.5794268,0.18164378,0.99911696,0.6201845,0.56708455,-0.061918397,0.9995345,0.63659626,0.5773568,0.18535332,0.9988575,0.63963753,0.5659559,-0.07103768,0.9992446,0.63889813,0.56618524,0.16124132,0.9987405,0.6374369,0.55237997,-0.070975855,0.9993148,0.62496805,0.5660845,0.16754754,0.9988752,0.6275263,0.55469775,-0.053819235,0.9994746,0.52522117,0.6740454,0.14689776,0.99984884,0.4684126,0.68245727,-0.14689776,0.999529,0.6626099,0.74831,0.06442234,0.9994429,0.5001486,0.8286226,-0.17113343,0.99903786,0.70263255,0.88466,0.083711945,0.99731654,0.3445586,0.8739469,0.027914286,0.9907678,0.6843326,0.9107961,0.08117709,0.9946359,0.30620557,0.8764273,0.04667837,0.98378503,0.7921977,0.9152016,0.042566966,0.98469365,0.38822347,0.9322466,-0.01660019,0.9775858
0.68341476,0.4561299,-0.21366175,0.99986756,0.6856669,0.44238508,-0.18672232,0.9997347,0.68764335,0.44296882,-0.18709305,0.99968255,0.6894015,0.4435712,-0.18709305,0.99960023,0.67633903,0.43957853,-0.22923224,0.9998104,0.6708856,0.43778735,-0.22873794,0.9998148,0.6650582,0.43621653,-0.22824365,0.9998118,0.67188346,0.44435185,-0.03796852,0.99958915,0.64205945,0.43679944,-0.22354777,0.9998666,0.67540026,0.46943885,-0.15323341,0.9997154,0.6646222,0.46628812,-0.20698868,0.99984765,0.61267424,0.508647,0.1602772,0.9995987,0.58272135,0.5035846,-0.29485074,0.99985456,0.55878806,0.5919721,0.1773306,0.9996486,0.5196878,0.6028177,-0.21279672,0.99927634,0.61650866,0.5897194,0.038153883,0.99911004,0.62147707,0.5803545,-0.0018304595,0.999608,0.62631214,0.59672356,0.029920677,0.9988927,0.6406372,0.57756996,-0.00578487,0.99939287,0.63649,0.5844182,0.0072754975,0.9988752,0.6402576,0.5635213,-4.0161982E-4,0.9994947,0.62310946,0.5845758,0.022830542,0.99899954,0.6312609,0.56435704,0.00969294,0.99960953,0.52293146,0.6814895,0.14445956,0.99979657,0.4699901,0.6901109,-0.14433599,0.9994253,0.66645277,0.74830574,0.08458731,0.9995728,0.5067835,0.83744025,-0.16966893,0.99939764,0.70269096,0.8840651,0.11090886,0.9979412,0.34609255,0.8720904,0.017671272,0.99442345,0.6844867,0.9098313,0.1086845,0.9960083,0.30956006,0.87145305,0.03546612,0.98971164,0.7965338,0.9128345,0.07890285,0.9889705,0.3834679,0.93232787,-0.02184194,0.9850429
0.69178146,0.4676143,-0.20603912,0.99991846,0.69338346,0.4536638,-0.181117,0.99981624,0.69523907,0.45415515,-0.18185726,0.99977833,0.69699574,0.45462897,-0.18161051,0.99972624,0.68469316,0.45102155,-0.22244821,0.9998727,0.6795329,0.44933617,-0.22269495,0.99986863,0.67392117,0.44774055,-0.22170796,0.99987364,0.67968595,0.45503476,-0.03787665,0.9997086,0.6509975,0.4481922,-0.2182534,0.99991906,0.68395805,0.48062488,-0.14805205,0.9998623,0.67348456,0.4775467,-0.20011704,0.99993074,0.6190055,0.5202753,0.15681179,0.9997527,0.5885423,0.5149265,-0.28722098,0.99994564,0.56054896,0.60355693,0.14200659,0.99966204,0.5186097,0.6134406,-0.1944417,0.9995327,0.6268069,0.6054584,-0.04022081,0.99933845,0.6213288,0.59788275,0.02649515,0.99978,0.6441298,0.6007659,-0.05521108,0.99918956,0.6431962,0.59156525,0.025724044,0.9996499,0.6417605,0.5970989,-0.07347083,0.99923575,0.6438707,0.5779194,0.03349678,0.9997131,0.6290364,0.59802985,-0.05530361,0.99931216,0.63347363,0.58129114,0.039912365,0.9997918,0.5242869,0.68845475,0.14669491,0.9997367,0.47021022,0.6988458,-0.14669491,0.9995178,0.6652654,0.7450081,0.14718841,0.9995523,0.50909877,0.8400494,-0.1907404,0.99957615,0.7054397,0.8782189,0.20838328,0.99780875,0.34535313,0.8672359,-0.024089303,0.99491996,0.68738556,0.9045147,0.2098638,0.99603915,0.30933815,0.86327356,-0.0075414013,0.99047756,0.79518354,0.90741515,0.19913001,0.98922324,0.3818722,0.92844224,-0.056876667,0.98469365
