x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.48651206,0.36516067,-0.22954528,0.99995697,0.4862303,0.35120836,-0.19599634,0.9998822,0.4879305,0.35141966,-0.19576092,0.99984026,0.48928487,0.35164785,-0.19611406,0.99978,0.47598723,0.34924325,-0.24555458,0.9999465,0.47048128,0.34818286,-0.24555458,0.9999553,0.46435344,0.34747565,-0.24579,0.99995935,0.47033638,0.35398063,-0.015229445,0.9997713,0.4438613,0.35096723,-0.23472473,0.99998,0.48171493,0.37843674,-0.15597306,0.99984026,0.47114187,0.37683952,-0.21871544,0.99993646,0.42945838,0.4265537,0.2169497,0.99957615,0.41532966,0.42275208,-0.31571302,0.999979,0.43824393,0.5227727,0.21129936,0.99696034,0.43238175,0.5245889,-0.30182257,0.99960953,0.48077175,0.5258599,0.018069332,0.9960083,0.5063832,0.48270372,-0.10111763,0.99980897,0.49499118,0.52351934,0.0021483083,0.99664956,0.5239813,0.47220433,-0.11182974,0.99972624,0.5141996,0.53412557,-0.022542521,0.9964064,0.516657,0.46243876,-0.1057674,0.9997347,0.5080997,0.5346935,-0.0018981626,0.9964342,0.5100527,0.465723,-0.08852207,0.9997981,0.4244801,0.62234014,0.16103482,0.9995253,0.4422752,0.62051016,-0.16115254,0.9997677,0.35102975,0.7530646,0.10888686,0.99963164,0.5715524,0.7203128,-0.09529072,0.99984396,0.23452634,0.8581908,0.10511996,0.99901116,0.6511203,0.86477625,-0.032106906,0.99624926,0.20727496,0.8779156,0.10388395,0.9974191,0.63851684,0.8906616,-0.027883865,0.9936365,0.29334325,0.8835439,0.031400613,0.9964204,0.74541616,0.88119227,-0.109828584,0.9869795
0.48882633,0.36652383,-0.23800677,0.9999759,0.4886526,0.35219043,-0.20511343,0.9999286,0.49031666,0.3524407,-0.20499596,0.9999001,0.49159685,0.35270146,-0.20511343,0.9998623,0.4785031,0.35007486,-0.25445342,0.99996877,0.473173,0.34895015,-0.25468838,0.9999733,0.4666632,0.3480809,-0.25468838,0.9999753,0.47377905,0.35472643,-0.022158947,0.9998623,0.44625452,0.35145107,-0.24035628,0.9999889,0.48359054,0.37956497,-0.16305695,0.99991965,0.4729626,0.37784097,-0.22567177,0.9999695,0.43017915,0.4277427,0.21180958,0.9997658,0.4155928,0.42371264,-0.3153061,0.99999,0.43950602,0.52392226,0.1870221,0.99758446,0.4323256,0.52621865,-0.28194287,0.9997305,0.4888754,0.51125765,-0.027841859,0.9974491,0.50602037,0.48449066,-0.052335642,0.9998776,0.5050148,0.505787,-0.045874454,0.997917,0.5244363,0.47357428,-0.05738712,0.99982053,0.49841186,0.5049015,-0.06713764,0.99776566,0.51684546,0.46288222,-0.052570596,0.9998287,0.49584082,0.50507224,-0.04596256,0.9978002,0.51007676,0.4664283,-0.038649667,0.99987566,0.4248388,0.6225276,0.15965015,0.99968255,0.4432631,0.62136114,-0.15976763,0.99984396,0.3531084,0.752321,0.1142456,0.9997677,0.572564,0.72029597,-0.08111731,0.9999076,0.23369986,0.85766035,0.112189755,0.99930406,0.6512295,0.8650633,-0.00902364,0.997399,0.20463824,0.8759763,0.11119122,0.9981828,0.6379062,0.8908303,-0.0038767143,0.99540824,0.29193938,0.8830729,0.043231238,0.9974291,0.7486154,0.8813915,-0.08082362,0.9905143
0.49031818,0.36675403,-0.21232398,0.99998856,0.49006087,0.3523991,-0.18148951,0.9999627,0.49116313,0.35266286,-0.18160675,0.9999509,0.49217224,0.3529205,-0.18148951,0.9999286,0.48025736,0.35025644,-0.23202051,0.9999832,0.47485584,0.3491213,-0.23237222,0.99998546,0.4685117,0.34822696,-0.23272395,0.9999869,0.47341463,0.35490835,-0.0065765036,0.99993443,0.44755208,0.35147572,-0.23202051,0.99999475,0.48426062,0.3795989,-0.13963437,0.9999702,0.47424588,0.37779224,-0.20470329,0.9999888,0.43026036,0.42784393,0.2180688,0.99989843,0.41736636,0.4237695,-0.30646873,0.99999607,0.44043675,0.52395487,0.17257917,0.99828595,0.43619663,0.5256765,-0.2478481,0.9998191,0.49063936,0.51122785,-0.070696495,0.99849296,0.5053327,0.48542783,0.027112048,0.9999269,0.5143862,0.5020417,-0.0928551,0.9987453,0.5243251,0.47517145,0.029779289,0.999884,0.51172364,0.4889848,-0.1110275,0.9987405,0.515653,0.46413076,0.030394802,0.99989605,0.5002816,0.49286985,-0.088575795,0.9987649,0.5098168,0.46748015,0.040506866,0.99992573,0.42437708,0.6223303,0.16191022,0.99980897,0.4451484,0.62117493,-0.16191022,0.9999118,0.35420558,0.7517552,0.11530682,0.99988675,0.5732613,0.7185169,-0.06841029,0.99995315,0.2330683,0.85700303,0.10539992,0.99964166,0.65171987,0.86417717,0.012632749,0.99843913,0.20430444,0.87532103,0.10352406,0.9990601,0.63873565,0.8902403,0.01905171,0.997358,0.29158217,0.88326263,0.038836177,0.99854493,0.7483295,0.8813822,-0.05029651,0.99437994
0.4928476,0.36678067,-0.2427272,0.99996877,0.4921868,0.35222033,-0.20908646,0.9999083,0.49359506,0.35240513,-0.20873603,0.99987066,0.49501148,0.35263568,-0.20885284,0.9998233,0.48212638,0.3504436,-0.25908032,0.9999609,0.4761337,0.34956944,-0.25837946,0.99996674,0.46949238,0.348945,-0.2588467,0.99997115,0.47729963,0.3555627,-0.023741242,0.99980897,0.44863307,0.3529315,-0.24342805,0.99998605,0.48802778,0.37998742,-0.16715236,0.9998859,0.47694927,0.37860215,-0.23116319,0.9999577,0.4367107,0.42856348,0.21305794,0.99967754,0.41918138,0.42380238,-0.32028776,0.99998724,0.44138643,0.5241565,0.20044266,0.99736834,0.43884963,0.52634746,-0.29599166,0.99971753,0.48646206,0.5277904,-0.008176565,0.9965837,0.50887036,0.48282096,-0.080422364,0.99987566,0.50114346,0.524175,-0.025551766,0.99719906,0.5265184,0.474751,-0.088540524,0.99981767,0.5224928,0.5368906,-0.049935453,0.9969722,0.5202133,0.46317908,-0.08328416,0.9998191,0.49376705,0.5246062,-0.028238352,0.9969722,0.5136582,0.46728182,-0.06693103,0.99986756,0.4270436,0.6230854,0.16294727,0.99967504,0.4455055,0.6224583,-0.16271365,0.99984396,0.35560215,0.7517338,0.11826817,0.9997546,0.5796476,0.7117638,-0.08988382,0.99990463,0.23356421,0.857284,0.1171585,0.9993563,0.6521938,0.8636083,-0.017229192,0.99746895,0.20672806,0.8762201,0.11657446,0.99827933,0.6383011,0.889817,-0.011812217,0.99565166,0.29193586,0.88333726,0.04739488,0.997459,0.74806356,0.88143635,-0.08894935,0.99090964
0.4950274,0.3711377,-0.23408741,0.99996674,0.49450165,0.35703337,-0.19936465,0.99990165,0.49581867,0.35713634,-0.19948117,0.99986446,0.49702936,0.35726914,-0.19924814,0.99980897,0.48479095,0.35587665,-0.24841931,0.9999573,0.47897446,0.35496032,-0.24888536,0.9999652,0.47254255,0.35426676,-0.24935144,0.99996805,0.47898832,0.3590963,-0.013377881,0.9998029,0.45159775,0.35732153,-0.23199007,0.999985,0.4904185,0.3832919,-0.15788375,0.9998591,0.47964656,0.38204128,-0.22138682,0.9999485,0.4361586,0.43076184,0.22115378,0.99958915,0.4249573,0.42720395,-0.30528077,0.9999838,0.44240215,0.5258722,0.21695907,0.99687636,0.44173136,0.52992386,-0.2808117,0.99962735,0.48547634,0.52874744,0.025663393,0.99632156,0.51010996,0.4859165,-0.066357784,0.99983776,0.49904966,0.52725554,0.011316944,0.9969957,0.5279695,0.47591817,-0.07329069,0.9997658,0.519527,0.54208946,-0.012358336,0.9967269,0.52140516,0.46616995,-0.06967859,0.9997677,0.5125095,0.54127574,0.0063430234,0.9966756,0.51468515,0.46953297,-0.05421064,0.9998247,0.42832056,0.6286078,0.16487491,0.9996499,0.4521674,0.6256895,-0.1647584,0.99984026,0.35745677,0.75272465,0.109178655,0.9997284,0.5861792,0.7106149,-0.09461373,0.99988127,0.23372146,0.85838246,0.09723542,0.999049,0.6529131,0.858654,-0.016050544,0.9963924,0.20632036,0.87598175,0.09676934,0.99736834,0.6381589,0.888579,-0.009729368,0.9938548,0.29043484,0.88331664,0.03131458,0.9962782,0.746836,0.8815868,-0.07468892,0.98771137
0.49774376,0.37010944,-0.21569808,0.9999627,0.4968765,0.35553965,-0.18530002,0.99989367,0.49807984,0.35575223,-0.18588236,0.9998591,0.49919564,0.35602143,-0.18564942,0.99980897,0.48716104,0.3536805,-0.23573051,0.9999505,0.4816582,0.35276246,-0.2360799,0.9999573,0.47546864,0.3521157,-0.23584697,0.9999629,0.48114905,0.35875967,-0.015548431,0.99980587,0.45458588,0.3558766,-0.23969041,0.999982,0.49257076,0.3830361,-0.14535162,0.9998776,0.48249373,0.38175347,-0.21045703,0.9999485,0.43821302,0.4311833,0.2109229,0.99971086,0.42611623,0.426348,-0.31865546,0.9999856,0.43869364,0.52726066,0.23037298,0.9980732,0.43942627,0.52879906,-0.2930326,0.99972194,0.48936933,0.5297303,0.07587867,0.9982039,0.5123816,0.4871111,-0.07250111,0.9998894,0.50478417,0.5276286,0.067725934,0.99843913,0.5314927,0.47888806,-0.07838272,0.9998416,0.51302654,0.50783926,0.04157895,0.9982926,0.52537423,0.46879193,-0.072442874,0.99984646,0.50155485,0.5103571,0.05736031,0.9983386,0.5179362,0.47125295,-0.059223797,0.999884,0.4310932,0.62691927,0.16352057,0.99974877,0.453703,0.62641627,-0.16363704,0.99986756,0.3587746,0.75555414,0.09777459,0.99978346,0.59002566,0.71195906,-0.09037889,0.9998859,0.23202533,0.8575763,0.083449066,0.99927634,0.653857,0.8599381,-0.013794136,0.99683964,0.2029059,0.8766377,0.08123618,0.99801993,0.6394107,0.8858154,-0.007715982,0.9948403,0.29198557,0.88416517,0.014019792,0.9972638,0.7496172,0.88346446,-0.07279228,0.9905143
0.5029,0.37263587,-0.21095575,0.9999825,0.5014653,0.35873124,-0.17833973,0.9999465,0.50261873,0.358871,-0.1786892,0.9999263,0.5036321,0.35898238,-0.1786892,0.9998945,0.49239433,0.35739353,-0.22947699,0.99997604,0.48629263,0.3565808,-0.22959346,0.99997985,0.4801142,0.35603747,-0.22959346,0.99998164,0.4849384,0.361914,3.42177E-4,0.999892,0.45845318,0.36048532,-0.22470109,0.9999919,0.49819142,0.38543063,-0.13756971,0.99993396,0.4877032,0.38488767,-0.20303471,0.99997497,0.44254765,0.43581772,0.2327386,0.9997408,0.43233767,0.43234912,-0.30542573,0.9999908,0.44849217,0.52979624,0.2384464,0.9975177,0.45127657,0.5347212,-0.26325786,0.9997154,0.49942976,0.5167723,0.065756224,0.9980276,0.51794934,0.4898278,-0.008991246,0.9998969,0.5137176,0.5129439,0.055971418,0.9983386,0.5352098,0.4775403,-0.00886748,0.99984646,0.5156858,0.509552,0.035120465,0.9982658,0.5281516,0.46792153,-0.007709903,0.9998499,0.5057051,0.51189977,0.04851633,0.99821776,0.52139276,0.47290212,0.0034872931,0.9998902,0.43467343,0.6325123,0.16890438,0.9997851,0.4589101,0.6297523,-0.16855493,0.99990237,0.36885503,0.7600632,0.10274046,0.99983,0.601318,0.71146894,-0.09248971,0.99992096,0.23353365,0.8577097,0.08060816,0.99938095,0.6532544,0.8622706,-0.021578992,0.9974191,0.20355394,0.8743662,0.079443306,0.9983707,0.6379503,0.8923181,-0.015827505,0.9957684,0.29503748,0.88435036,0.019336639,0.9977743,0.7484288,0.8838341,-0.0733278,0.9920002
0.50607425,0.37721136,-0.21569715,0.9999969,0.5055628,0.3634678,-0.18127863,0.9999888,0.5071451,0.36367056,-0.18127863,0.99998426,0.50862134,0.36386174,-0.18069723,0.9999764,0.49535725,0.3620668,-0.2308134,0.9999951,0.48921102,0.3611851,-0.2312785,0.99999595,0.48247704,0.3606085,-0.2313948,0.99999607,0.49106428,0.36642894,0.0064062346,0.99997663,0.4615753,0.36477783,-0.21476692,0.99999833,0.5019761,0.38965347,-0.13999966,0.99998474,0.49059665,0.38883734,-0.2033716,0.9999943,0.44646204,0.43833062,0.24813893,0.9999069,0.43757802,0.43496674,-0.2888365,0.9999968,0.4602711,0.53113794,0.27046445,0.9988028,0.46027142,0.5379876,-0.24023196,0.9998746,0.5131494,0.5007543,0.1211625,0.9993333,0.5243722,0.49471474,0.028372027,0.9999517,0.5293975,0.4949274,0.11592995,0.99939764,0.53929555,0.48212555,0.03476736,0.99991906,0.52452,0.48669216,0.1019765,0.99936634,0.5325209,0.47482002,0.031453412,0.99991846,0.51450694,0.49618343,0.10767416,0.9994023,0.5259823,0.47821042,0.04023246,0.999944,0.44110098,0.6349017,0.16895308,0.9999417,0.4664122,0.6324415,-0.16860424,0.9999751,0.38062975,0.765192,0.10017417,0.9999485,0.6165769,0.71014655,-0.078953296,0.9999727,0.23691538,0.8548838,0.062034734,0.99979657,0.6516812,0.86208826,-0.003946211,0.99895966,0.20590226,0.86964566,0.05883707,0.99942744,0.63605493,0.89037496,0.0026090054,0.99824536,0.28466958,0.87987036,0.0034665614,0.99897975,0.7479631,0.8834864,-0.04436036,0.9960699
0.51113176,0.38023254,-0.21159795,0.9999963,0.50956213,0.36628646,-0.17886585,0.9999871,0.51080024,0.36636308,-0.17898192,0.999982,0.5118915,0.3664572,-0.17898192,0.9999733,0.5005007,0.36546803,-0.22970507,0.99999404,0.4946853,0.3648857,-0.22958902,0.9999949,0.4886294,0.36454198,-0.22924079,0.99999523,0.4935681,0.36929992,-0.0010700321,0.99997306,0.46670973,0.36866543,-0.22285686,0.99999785,0.5064716,0.3927089,-0.13916947,0.9999831,0.49633372,0.392266,-0.2028926,0.9999933,0.45239592,0.4427404,0.23191041,0.99992514,0.4432157,0.43803647,-0.2999282,0.99999726,0.45893764,0.54063666,0.29296392,0.9993228,0.4665488,0.5404494,-0.24792825,0.99991584,0.51871973,0.51833147,0.20602652,0.9995859,0.5305415,0.49836862,0.023620507,0.99996436,0.5359791,0.5048331,0.20997296,0.999608,0.5463517,0.48804617,0.031368263,0.99994266,0.5372179,0.50106835,0.18803549,0.9995876,0.53976995,0.47895497,0.030613802,0.9999435,0.52621174,0.5047844,0.1908212,0.999617,0.53240573,0.48224056,0.036562454,0.99996054,0.44867244,0.6403503,0.16586587,0.9999453,0.4761308,0.6376571,-0.16574979,0.999979,0.391546,0.7732964,0.11148647,0.9999528,0.62569296,0.707273,-0.08217847,0.99997413,0.24467956,0.84764975,0.08566061,0.9998416,0.653082,0.8619142,0.0028872732,0.9992986,0.2119295,0.8606567,0.08304901,0.99954695,0.6370022,0.89042974,0.010794629,0.99882597,0.29449862,0.8806013,0.03087496,0.9992505,0.7488635,0.8848717,-0.029075857,0.997459
0.516974,0.3871992,-0.2153285,0.99999535,0.51574165,0.37292814,-0.18113667,0.9999845,0.51706284,0.3730016,-0.18136539,0.99997926,0.5181869,0.3731015,-0.18136539,0.99996924,0.5067468,0.37158635,-0.2344256,0.99999285,0.5006235,0.3707384,-0.23385385,0.99999416,0.49457,0.37020314,-0.23373948,0.99999464,0.4992493,0.3757672,6.2537316E-4,0.99996805,0.4725267,0.3745128,-0.230995,0.9999975,0.5118861,0.3992891,-0.14122713,0.99997497,0.5015151,0.39869338,-0.20823856,0.9999906,0.460458,0.44906238,0.24243039,0.99992216,0.44758067,0.44543684,-0.3156169,0.999997,0.4656941,0.5424728,0.30189443,0.99945575,0.46508142,0.5489716,-0.28222555,0.99992275,0.5136056,0.54195035,0.20046249,0.99946004,0.53190947,0.50674146,-0.03041815,0.99996436,0.53500664,0.53676635,0.20183474,0.99946004,0.54954326,0.49885684,-0.029217435,0.9999398,0.53558636,0.52324486,0.17621945,0.99940467,0.54489756,0.48913032,-0.02761648,0.99994075,0.53111064,0.5236658,0.18330939,0.9994253,0.5371474,0.49276873,-0.017396094,0.99995863,0.4578831,0.6453758,0.17679122,0.99996805,0.47812256,0.6420934,-0.17679122,0.9999865,0.40661556,0.78085554,0.11704127,0.9999671,0.6347952,0.706873,-0.106635064,0.9999778,0.2501273,0.8467017,0.08073389,0.99989927,0.65373147,0.8639017,-0.008569399,0.9995939,0.21467704,0.8583853,0.07638844,0.9997086,0.6372627,0.889403,6.789766E-4,0.9993563,0.30382913,0.88303304,0.016495558,0.9994093,0.7517675,0.89001524,-0.042711202,0.99847525
