x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.5847593,0.23916483,-0.3456743,0.99999666,0.5895191,0.22321175,-0.29542935,0.9999908,0.59268445,0.2237841,-0.29570392,0.9999877,0.59515107,0.22433567,-0.29570392,0.999984,0.5748904,0.21973571,-0.350891,0.9999945,0.56692564,0.21799912,-0.34951818,0.99999416,0.55912113,0.21673855,-0.34951818,0.9999939,0.5772189,0.228153,-0.027113056,0.99998343,0.53492135,0.22207946,-0.2759354,0.99999595,0.57990295,0.2549335,-0.24134053,0.9999852,0.563984,0.25227824,-0.31300136,0.9999938,0.5333062,0.31401604,0.26975775,0.9999385,0.48906982,0.31167892,-0.342105,0.99999225,0.5317804,0.41772422,0.3091575,0.99965405,0.4792187,0.42846382,-0.49531093,0.9998785,0.5693424,0.40732753,0.091429345,0.999617,0.57601637,0.37841466,-0.56038225,0.99995637,0.57328594,0.4057907,0.078799464,0.9995453,0.59035325,0.36825272,-0.6144711,0.9999318,0.5768198,0.38867787,0.055736203,0.9995778,0.5833695,0.35640794,-0.5979973,0.9999355,0.5691945,0.39106286,0.073582776,0.99958915,0.57705915,0.35932493,-0.5491252,0.999956,0.5416203,0.5452733,0.18848722,0.9999379,0.48824486,0.55092686,-0.18876179,0.9999379,0.68007374,0.6489952,0.28279948,0.9999145,0.43990988,0.7026869,-0.24367431,0.9999497,0.7328981,0.7959319,0.48679945,0.9993462,0.26960924,0.80530554,-0.11689503,0.99890554,0.71369046,0.8301038,0.5002531,0.99862766,0.22886313,0.8210104,-0.10769718,0.99784267,0.83130556,0.8258347,0.4250229,0.9961004,0.32639977,0.85046846,-0.24710634,0.99495924
0.5875452,0.24583712,-0.2595301,0.99999595,0.5902139,0.22864318,-0.21561383,0.9999877,0.59306246,0.22927722,-0.21547702,0.99998343,0.59533465,0.2299591,-0.21534021,0.9999795,0.5774693,0.22547525,-0.27909404,0.9999925,0.57044894,0.2240955,-0.27895725,0.9999926,0.5631807,0.22310877,-0.2785468,0.99999225,0.5757576,0.2328301,0.026661007,0.99997926,0.5382021,0.22688772,-0.25638345,0.9999958,0.5813914,0.26124787,-0.16294166,0.99998975,0.5673898,0.25786245,-0.24502815,0.99999607,0.5322155,0.31419206,0.30153102,0.9999627,0.48954597,0.31122655,-0.34147978,0.99999726,0.52565265,0.41385552,0.21725556,0.99970406,0.48649612,0.43115938,-0.30727708,0.99991965,0.5747033,0.39427468,-0.16417296,0.99967754,0.5802399,0.38453883,-0.06611382,0.9999671,0.5791536,0.4037465,-0.20699474,0.9996486,0.59579813,0.37693122,-0.07928186,0.99993896,0.5775909,0.38798743,-0.22177032,0.99968004,0.5874478,0.36457726,-0.07873462,0.9999505,0.57537717,0.38905308,-0.18510503,0.99968743,0.5821784,0.36648563,-0.05304839,0.9999678,0.5446302,0.54367787,0.1975548,0.99992216,0.49074206,0.5502543,-0.1975548,0.9999453,0.6849957,0.6502148,0.29168063,0.9999385,0.4460732,0.7096169,-0.24366005,0.99997306,0.73410094,0.8004609,0.4583162,0.99955755,0.2714535,0.802544,-0.121214375,0.9992592,0.7151363,0.8313103,0.4684402,0.99903405,0.23162048,0.8141503,-0.1101327,0.99857306,0.8331951,0.8272924,0.4038655,0.997065,0.32645684,0.8499765,-0.22847407,0.99620515
0.596078,0.2537867,-0.32482353,0.9999968,0.5987539,0.23787174,-0.2758662,0.99999094,0.60109156,0.23819365,-0.27600375,0.99998784,0.60315603,0.23848213,-0.27559116,0.9999845,0.58644164,0.23526803,-0.33362484,0.9999944,0.5792555,0.23378593,-0.33417493,0.9999938,0.5716587,0.23239376,-0.33444998,0.9999932,0.58344555,0.24024615,-0.013545774,0.9999865,0.54640305,0.23494957,-0.27462852,0.99999595,0.5903667,0.26798812,-0.22195816,0.9999887,0.57620627,0.26558298,-0.2973194,0.99999464,0.5454328,0.32554114,0.28494257,0.99996233,0.49963555,0.32733864,-0.35122746,0.9999926,0.54359347,0.42744455,0.30337033,0.99981767,0.4903025,0.44267273,-0.4491421,0.9999118,0.58129036,0.40567386,0.055867717,0.9998313,0.588128,0.38860214,-0.38918313,0.99996924,0.5874933,0.3914828,0.043181453,0.999795,0.60343164,0.37912557,-0.4249385,0.9999461,0.5830134,0.38743794,0.024702128,0.9998029,0.5962919,0.3672592,-0.41063637,0.99994934,0.58115137,0.38912246,0.039880957,0.99982053,0.5896903,0.37062302,-0.37323076,0.9999676,0.54611444,0.55668235,0.19555421,0.99998057,0.49173558,0.56501216,-0.19569173,0.99996054,0.69180954,0.64473236,0.14673442,0.99996436,0.45839003,0.7254561,-0.20545569,0.99994934,0.73514843,0.8018275,0.24588674,0.9996244,0.27638793,0.79656655,-0.0027074357,0.9988167,0.71485746,0.8328396,0.25056243,0.99903405,0.23681256,0.80249715,0.015264781,0.99790895,0.8359173,0.8289675,0.16158664,0.9965436,0.32814106,0.8521605,-0.08980092,0.99565166
0.60273886,0.26248434,-0.30910426,0.99999607,0.6061919,0.24570999,-0.26353472,0.9999877,0.60854506,0.24627909,-0.26380923,0.9999839,0.6109939,0.24682942,-0.26380923,0.99997854,0.5926661,0.24239184,-0.3242026,0.9999925,0.5860764,0.24073921,-0.3242026,0.9999924,0.5781266,0.23939791,-0.3242026,0.9999918,0.59166676,0.24888843,-0.01370861,0.9999778,0.5530063,0.24281718,-0.28494692,0.9999956,0.5960589,0.27762786,-0.21055326,0.99998724,0.58201945,0.27447903,-0.28933915,0.9999949,0.5557363,0.33427626,0.27726048,0.999959,0.5044164,0.33431625,-0.36455634,0.99999547,0.5513614,0.4387755,0.23869109,0.9998523,0.49682987,0.4533912,-0.33792838,0.9999374,0.58720595,0.42091906,-0.09333521,0.9997851,0.59461164,0.40140092,-0.1156396,0.99998116,0.5915638,0.41959623,-0.122982875,0.9997408,0.60961,0.39152086,-0.12998301,0.9999641,0.5891534,0.4032427,-0.13890477,0.9997508,0.6027443,0.37948325,-0.12771825,0.9999678,0.5878835,0.40398976,-0.11207089,0.9997749,0.5966832,0.3825115,-0.10129616,0.99998033,0.54977965,0.56298566,0.1980628,0.9999839,0.49154165,0.5710462,-0.19820006,0.9999751,0.69894063,0.64423156,0.13032615,0.9999722,0.46769089,0.7375629,-0.18763122,0.9999709,0.7343121,0.8032159,0.1980628,0.9997731,0.27618247,0.7909548,0.04553523,0.9992237,0.71339643,0.8329349,0.20080796,0.9994,0.242231,0.796826,0.06849158,0.9986594,0.83316755,0.8285868,0.119002394,0.99758446,0.32623008,0.84854645,-0.018941559,0.99687636
0.6117885,0.27107313,-0.27973005,0.9999925,0.6142555,0.25380912,-0.23397343,0.9999788,0.6163025,0.25423402,-0.23383683,0.9999714,0.6183943,0.2547225,-0.23411004,0.9999652,0.60145706,0.25086564,-0.29530096,0.9999871,0.59400815,0.24946596,-0.29584733,0.9999865,0.5870433,0.24833311,-0.29557413,0.99998605,0.5979473,0.25732774,0.0074653304,0.9999658,0.56126356,0.25179088,-0.26620796,0.99999213,0.6040015,0.28648928,-0.18521188,0.9999738,0.5906284,0.28353462,-0.26415914,0.99998915,0.5594066,0.3423918,0.29202288,0.9999269,0.5109131,0.3440198,-0.36195537,0.9999912,0.5528512,0.44904467,0.27221778,0.9997868,0.49945322,0.4649216,-0.3335453,0.9998766,0.58553517,0.4443982,-0.016313603,0.9995592,0.59900725,0.40867633,-0.09793283,0.999959,0.58986044,0.4469652,-0.038824838,0.99949265,0.61465955,0.4003061,-0.11145495,0.9999286,0.5890966,0.42992145,-0.05996167,0.9994947,0.6083665,0.38835943,-0.10708416,0.99993896,0.5884063,0.42856455,-0.036434565,0.9995197,0.60190094,0.39030677,-0.08290827,0.99995863,0.5513145,0.5699679,0.20310478,0.9999683,0.49340215,0.5804648,-0.2028316,0.9999448,0.7061466,0.6433368,0.12251849,0.999949,0.47547516,0.74584097,-0.22454892,0.999943,0.7352216,0.8033933,0.18261674,0.99963593,0.28296763,0.7880202,0.024722235,0.99894744,0.71470684,0.83242416,0.18343626,0.99910307,0.25128183,0.78801924,0.050059114,0.9983321,0.83416986,0.8293324,0.11138666,0.99664956,0.32546204,0.8503514,-0.022331964,0.99648935
0.6146465,0.275737,-0.26062018,0.9999919,0.6167986,0.25909886,-0.21524194,0.99997675,0.6189219,0.25941247,-0.21564831,0.9999697,0.6209016,0.2597625,-0.21537739,0.99996114,0.60439783,0.25702992,-0.27958423,0.9999862,0.5973479,0.25580397,-0.27985516,0.99998593,0.5902267,0.25448328,-0.27985516,0.9999856,0.60147655,0.26206335,0.022875382,0.9999621,0.56556916,0.25686938,-0.26292297,0.99999166,0.60665953,0.29016358,-0.16728999,0.99996626,0.59401894,0.2875663,-0.24991904,0.99998605,0.5617449,0.34525084,0.31859598,0.9999151,0.51499605,0.34449303,-0.37332082,0.9999896,0.5446805,0.44684097,0.3497512,0.9997918,0.503615,0.46796897,-0.35354403,0.9998859,0.5927629,0.44041646,0.1232663,0.9995234,0.60368645,0.41465092,-0.12611091,0.9999615,0.60424536,0.43954495,0.113242455,0.99946004,0.62114406,0.40723926,-0.14168853,0.99993396,0.5988338,0.4393223,0.08520275,0.9994579,0.61373603,0.3948251,-0.13687979,0.9999422,0.59471166,0.42313573,0.10206721,0.99947256,0.6069915,0.39681703,-0.11046557,0.9999609,0.5512853,0.5691087,0.21253279,0.99996674,0.49697268,0.5827628,-0.2121264,0.9999465,0.7078607,0.6424737,0.11574842,0.9999465,0.48247418,0.75347227,-0.25655645,0.99993694,0.7377732,0.8051504,0.1748756,0.99968004,0.2831635,0.78696704,-0.0062733744,0.99918,0.7152579,0.83404595,0.17731383,0.99922967,0.25131524,0.78614813,0.020047707,0.9987551,0.83274406,0.8320904,0.10951737,0.99719906,0.31592506,0.84975743,-0.041585445,0.9973786
0.6208684,0.2860237,-0.2749925,0.9999964,0.62437963,0.2692835,-0.22877298,0.9999881,0.6271018,0.26974714,-0.22904645,0.99998343,0.62996674,0.2701912,-0.2294567,0.9999778,0.60995865,0.26626924,-0.28880367,0.9999933,0.6025739,0.2645697,-0.28880367,0.9999931,0.5945068,0.2632565,-0.28907716,0.9999927,0.61169,0.27272934,0.01687081,0.99997723,0.5703238,0.2669257,-0.24819064,0.99999607,0.6143025,0.30116355,-0.17804089,0.99998546,0.59932613,0.29855946,-0.25475436,0.99999475,0.5681282,0.358193,0.30958876,0.999936,0.52253574,0.35878164,-0.33830506,0.99999464,0.561117,0.4638464,0.22973019,0.99980587,0.5053581,0.4826192,-0.3068539,0.99991715,0.6013807,0.4344433,-0.1327102,0.9997918,0.605999,0.42666033,-0.04721092,0.99998367,0.6063396,0.42843893,-0.16012742,0.99977654,0.6231464,0.4163961,-0.049843244,0.99996877,0.6026114,0.41525424,-0.1681953,0.99979013,0.6168094,0.40284064,-0.042048827,0.9999751,0.6003613,0.4170556,-0.14918788,0.99979335,0.6097557,0.40607575,-0.028083831,0.9999838,0.5509239,0.5820117,0.20990229,0.99998355,0.50307995,0.59566164,-0.20976554,0.99997246,0.71253645,0.64428157,0.077465564,0.9999733,0.4896016,0.76163536,-0.2365674,0.99997187,0.73876846,0.8071075,0.08539673,0.99980587,0.2881621,0.78573996,0.022460228,0.9994093,0.71875453,0.8364217,0.082661845,0.9994986,0.2539545,0.7797823,0.05032185,0.999049,0.8389023,0.830398,0.015529009,0.99780875,0.32243207,0.8457851,0.0073841843,0.99793327
0.6243395,0.2924623,-0.26218763,0.99999785,0.6265452,0.2751382,-0.21844456,0.9999919,0.62890327,0.27562076,-0.21858,0.9999882,0.63122207,0.2761881,-0.21858,0.99998474,0.6134267,0.27250266,-0.28141835,0.9999956,0.60706764,0.271129,-0.2816892,0.9999956,0.5997716,0.26987952,-0.28114748,0.9999957,0.61088014,0.2779969,0.020991262,0.99998367,0.57469594,0.2718941,-0.2560934,0.999998,0.61570776,0.30750278,-0.16833638,0.99999225,0.6018822,0.30414498,-0.2481032,0.9999976,0.5705722,0.36030185,0.30444103,0.9999633,0.5222537,0.36493537,-0.34994465,0.9999982,0.56557804,0.46016893,0.18851508,0.99980587,0.50770265,0.4902771,-0.27437612,0.9999274,0.5914583,0.45612592,-0.21505888,0.9996288,0.6084355,0.43621123,0.041914813,0.999985,0.6036295,0.45535377,-0.25311399,0.99962294,0.6263943,0.42499593,0.045909923,0.9999745,0.600497,0.4380864,-0.26259392,0.99965537,0.6193878,0.41334897,0.049261753,0.9999794,0.59972167,0.43764398,-0.2349667,0.99965405,0.61241746,0.41662705,0.060840804,0.9999865,0.5539945,0.5874037,0.21329832,0.9999751,0.5051794,0.6023019,-0.21329832,0.99997354,0.71891236,0.6430135,0.17443062,0.99997354,0.48911768,0.7688916,-0.27207384,0.9999827,0.742772,0.8055816,0.21289203,0.9998416,0.2905704,0.78547406,-0.018993707,0.9996699,0.71862864,0.83513874,0.21302746,0.9996244,0.25535437,0.777957,0.009801566,0.9994536,0.8395859,0.8356419,0.16698211,0.9984269,0.32195616,0.8478241,-0.022684107,0.99858415
0.6321964,0.30801964,-0.26420528,0.99999213,0.6348017,0.29151815,-0.21876957,0.99997747,0.6372432,0.2916437,-0.21904083,0.99996924,0.6396783,0.29177886,-0.21917646,0.99996054,0.62170714,0.28975716,-0.27627626,0.99998665,0.6150908,0.28851277,-0.27654752,0.9999857,0.6073458,0.28746006,-0.27614063,0.99998605,0.62105364,0.29346752,0.018835476,0.99995494,0.5829181,0.2896034,-0.23341748,0.99999154,0.6258717,0.32224753,-0.17143504,0.99996114,0.6119905,0.32050207,-0.24453908,0.99998593,0.5743906,0.37494496,0.29675624,0.99983525,0.5337326,0.37913668,-0.3279509,0.999982,0.5625163,0.48128194,0.25145614,0.99962294,0.5149647,0.5075939,-0.29594246,0.9996971,0.58516526,0.47762394,-0.041909356,0.9992563,0.61118186,0.44868544,-0.050182723,0.9999355,0.6004164,0.47578824,-0.061575558,0.99918956,0.6296107,0.43898198,-0.054455042,0.9998945,0.59304696,0.47607753,-0.07554535,0.99918,0.62251943,0.42481086,-0.047436237,0.9999138,0.5839187,0.474309,-0.058930796,0.9992022,0.6149885,0.42807624,-0.032584865,0.9999385,0.55393785,0.5996156,0.20520665,0.9999665,0.500952,0.6130736,-0.20520665,0.9999286,0.7195265,0.6437511,0.05635385,0.9999473,0.4979585,0.7874773,-0.2872622,0.99993026,0.7410324,0.8052369,0.088362284,0.99966466,0.3003876,0.7802771,0.03546698,0.9989956,0.7162443,0.83698386,0.0884301,0.99918646,0.26738513,0.77070814,0.072764955,0.9985896,0.8375384,0.8366625,0.04085823,0.99584997,0.3295999,0.85208476,0.05662511,0.99633574
0.63320845,0.3136335,-0.26304194,0.99999535,0.6351773,0.29699218,-0.2214446,0.99998593,0.63748586,0.2974945,-0.2217165,0.9999814,0.63978994,0.2980407,-0.22212431,0.99997604,0.62367666,0.29389894,-0.2803062,0.9999913,0.61673224,0.29223162,-0.2803062,0.9999908,0.6098973,0.29090703,-0.2803062,0.99999046,0.61976594,0.2994097,0.0013551418,0.9999757,0.5836721,0.29322195,-0.25855595,0.99999464,0.6245379,0.32964864,-0.17549723,0.9999814,0.61089224,0.3262041,-0.24971992,0.9999925,0.5704212,0.37904626,0.26929513,0.999936,0.5351106,0.3874133,-0.34963506,0.99999034,0.55581164,0.48142052,0.18637235,0.99977654,0.51466787,0.51539665,-0.26304194,0.99972194,0.59388506,0.48796436,-0.14028904,0.99940693,0.6109484,0.45801622,0.045811437,0.99991965,0.60347116,0.49474743,-0.16570963,0.9993228,0.6311666,0.44834277,0.04920991,0.99988043,0.6065417,0.48716643,-0.1802551,0.9993462,0.6260803,0.43474948,0.055259198,0.9999008,0.5990412,0.48590955,-0.1586408,0.9993687,0.6177474,0.4378568,0.06392531,0.9999274,0.5512955,0.60095006,0.20159751,0.9999739,0.5027213,0.6189686,-0.20173346,0.99994695,0.7200734,0.64485914,0.120102085,0.99996054,0.5020439,0.7933484,-0.2611388,0.9999546,0.74252397,0.8028476,0.13736634,0.99972624,0.3035701,0.78058755,0.078844614,0.9993857,0.7199544,0.8356096,0.13539523,0.9993563,0.26924455,0.7667952,0.11806301,0.9990996,0.8397826,0.8324684,0.10351754,0.9970879,0.326375,0.8484539,0.123568535,0.99766773
